Case #,Year,Date,Country,State,Description,Deaths,Tesla driver,Tesla occupant,Other vehicle,Cyclists/Peds,TSLA+cycl / peds,Model,Autopilot claimed,Reported in NHTSA SGO
293,2022,12/22/2022,USA,GA,Tesla crashes and burns,1,1,0,0,0,1,#N/A,FALSE,#N/A
291,2022,12/18/2022,USA,CA,Tesla hit two other cars,1,0,1,0,0,0,#N/A,FALSE,#N/A
290,2022,12/17/2022,USA,CA,Tesla hits pedestrian on highway,1,0,0,0,1,1,#N/A,FALSE,#N/A
289,2022,12/11/2022,USA,CA,Tesla crashes into wall,1,1,0,0,0,0,#N/A,FALSE,#N/A
288,2022,12/11/2022,USA,MO,Collision at intersection,1,0,0,1,0,0,#N/A,FALSE,#N/A
285,2022,11/27/2022,USA,CA," Tesla careens off road, hits trees ",1,1,0,0,0,1,#N/A,FALSE,#N/A
284,2022,11/26/2022,USA,AR,Tesla hits pedestrian,1,0,0,0,1,1,#N/A,FALSE,#N/A
281,2022,11/12/2022,USA,CA,Multi-vehicle accident,1,0,0,1,0,0,#N/A,FALSE,#N/A
280,2022,11/11/2022,USA,CA," Tesla hits wall, catches fire ",1,0,1,0,0,0,#N/A,TRUE,#N/A
278,2022,11/4/2022,USA,IL," Collision at intersection, Tesla driver dies in hospital ",1,1,0,0,0,1,#N/A,FALSE,#N/A
277,2022,10/19/2022,USA,CA,Multi-car crash,1,1,0,0,0,1,#N/A,FALSE,#N/A
276,2022,10/18/2022,USA,FL," Tesla collides with minivan, engulfed by flames ",4,1,1,2,0,2,#N/A,FALSE,#N/A
274,2022,10/9/2022,USA,CA,Tesla hits concrete block,1,0,1,0,0,1,#N/A,FALSE,#N/A
273,2022,10/1/2022,USA,FL,Tesla hits tree and catches fire,1,1,0,0,0,1,#N/A,FALSE,#N/A
272,2022,9/18/2022,USA,SC," Tesla crashes into tree, ignites ",2,1,1,0,0,2,#N/A,FALSE,#N/A
271,2022,9/18/2022,USA,MD,Multi-car accident,1,0,0,1,0,0,#N/A,FALSE,#N/A
270,2022,9/16/2022,USA,GA," Tesla loses control and crashes into bus shelter, kills man inside ",1,0,0,0,1,1,#N/A,TRUE,#N/A
269,2022,9/13/2022,USA,CA,Tesla runs off highway,1,1,0,0,0,1,3,TRUE,13781-4011
268,2022,9/12/2022,USA,NY," Tesla runs off road, catches fire ",1,1,0,0,0,0,#N/A,FALSE,#N/A
267,2022,9/7/2022,USA,CA,Motorcycle collides with Tesla,1,1,0,0,0,0,#N/A,FALSE,#N/A
266.1,2022,9/-/2022,USA,FL,[REDACTED],1,0,0,0,0,0,Y,FALSE," 13781-5248 | Currently marked as [Unknown] for ""Automated System Engaged?"" "
266,2022,8/30/2022,USA,CA,Tesla hits motorcycle,1,0,0,1,0,0,#N/A,FALSE,#N/A
265,2022,8/26/2022,USA,FL,Tesla hits motorcycle,1,0,0,1,0,0,3,TRUE,13781-3713
264,2022,8/24/2022,USA,MA,Motorcyclist hits Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
263,2022,8/23/2022,USA,SC,Multi-car accident on highway,2,0,0,2,0,0,3,TRUE,13781-3710
261,2022,8/20/2022,USA,FL," Tesla swerves, runs off roadway, overturns ",1,1,0,0,0,1,S,FALSE,#N/A
260,2022,8/20/2022,USA,FL,Pedestrian hit in road,1,0,0,0,1,1,#N/A,FALSE,#N/A
258,2022,8/14/2022,USA,CA,Tesla veers into oncoming traffic,4,1,3,0,0,4,#N/A,FALSE,#N/A
256,2022,8/2/2022,USA,FL,Man in wheelchair hit crossing road,1,0,0,0,1,1,3,FALSE,#N/A
254,2022,7/27/2022,USA,ME,Tesla crashes at high speed,1,1,0,0,0,1,#N/A,FALSE,#N/A
253,2022,7/24/2022,USA,UT,Tesla hits motorcycle,1,0,0,1,0,0,3,TRUE,13781-3488
