Date,Close/Last,Volume,Open,High,Low
05/25/2023,$7.61,11171050,$7.46,$7.665,$7.38
05/24/2023,$7.49,8218913,$7.46,$7.54,$7.30
05/23/2023,$7.55,14970190,$7.521,$7.94,$7.50
05/22/2023,$7.65,17459580,$7.20,$7.7584,$7.07
05/19/2023,$7.18,14377180,$7.28,$7.51,$7.13
05/18/2023,$7.29,10090260,$7.17,$7.29,$7.11
05/17/2023,$7.23,12650940,$7.03,$7.24,$6.93
05/16/2023,$6.98,11197060,$7.10,$7.18,$6.97
05/15/2023,$7.17,11608800,$7.08,$7.19,$6.9522
05/12/2023,$7.04,14059390,$7.09,$7.1778,$6.89
05/11/2023,$7.06,15402340,$7.16,$7.29,$6.95
05/10/2023,$7.16,18580450,$7.365,$7.46,$7.15
05/09/2023,$7.28,29222520,$6.91,$7.35,$6.85
05/08/2023,$7.71,29869420,$7.75,$7.7999,$7.26
05/05/2023,$7.73,16529200,$7.50,$7.82,$7.46
05/04/2023,$7.38,9703702,$7.465,$7.54,$7.255
05/03/2023,$7.41,12392100,$7.27,$7.65,$7.205
05/02/2023,$7.27,13079610,$7.36,$7.43,$7.10
05/01/2023,$7.32,15072520,$7.94,$7.94,$7.29
04/28/2023,$7.94,15816380,$7.95,$8.07,$7.7491
04/27/2023,$8.17,33947140,$7.34,$8.28,$7.33
04/26/2023,$7.22,33362520,$6.84,$7.84,$6.73
04/25/2023,$6.74,17767670,$6.91,$6.9601,$6.635
04/24/2023,$7.00,10872320,$7.04,$7.22,$6.96
04/21/2023,$7.03,13171860,$7.13,$7.13,$6.86
04/20/2023,$7.07,22642290,$7.331,$7.53,$7.0312
04/19/2023,$7.62,16219460,$7.65,$7.70,$7.48
04/18/2023,$7.83,10167370,$8.02,$8.08,$7.75
04/17/2023,$7.95,13650510,$7.73,$7.965,$7.585
04/14/2023,$7.73,30486230,$7.67,$7.765,$7.45
04/13/2023,$8.25,10570560,$8.17,$8.38,$8.16
04/12/2023,$8.13,14102280,$8.64,$8.87,$8.06
04/11/2023,$8.46,20643700,$8.08,$8.685,$8.06
04/10/2023,$8.03,11520890,$7.60,$8.07,$7.43
04/06/2023,$7.70,8154591,$7.63,$7.87,$7.481
04/05/2023,$7.70,10999820,$7.78,$7.79,$7.52
04/04/2023,$7.90,11125780,$7.93,$8.00,$7.65
04/03/2023,$7.90,12010140,$7.95,$8.0579,$7.645
03/31/2023,$8.04,19553550,$7.68,$8.20,$7.565
03/30/2023,$7.62,11085730,$7.77,$7.88,$7.60
